Tiempo_ms	Voltaje_V
2890	0.93479
2891	2.30398
2891	0.94768
2892	2.28545
2893	2.07593
2894	0.96379
2896	1.94133
2897	1.82687
2898	1.37801
2899	2.07190
2900	2.32251
2900	0.94043
2901	2.25076
2901	1.01535
2902	2.16938
2902	1.41024
2903	1.66010
2903	1.70280
2904	1.09355
2905	2.22095
2905	1.82929
2906	1.28133
2907	2.17341
2908	1.36512
2909	2.21450
2909	1.83654
2910	1.25957
2911	2.18872
2911	1.80592
2912	1.23455
2913	1.39090
2914	1.01858
2915	2.31687
2915	0.88725
2916	2.32171
2916	1.01455
2918	1.30469
2919	2.34991
2919	0.93237
2920	2.13152
2920	1.70602
2921	1.12498
2923	2.29270
2924	1.71085
2924	1.86318
2925	1.07422
2927	2.33138
2927	1.93810
2929	1.31114
2931	2.34910
2931	0.93801
2933	2.07351
2933	1.69313
2974	1.33289
2975	0.94284
2976	2.23303
2976	1.18460
2976	1.72858
2977	1.84621
2977	1.11047
2979	2.22014
2980	1.08308
2980	1.93166
2981	1.36351
2982	1.05166
2984	2.33782
2984	0.94284
2985	2.16938
2985	1.03232
2986	2.05171
2987	0.97910
2989	2.15327
2990	0.90256
2991	2.35152
2991	0.90981
2992	2.22820
2993	2.35071
2993	0.90820
2995	1.32564
2996	2.10332
2997	1.09839
2999	2.25801
2999	1.38526
3000	1.83896
3000	1.22005
3001	2.13957
3002	1.23782
3002	1.88896
3004	1.27327
3006	2.07915
3006	1.01938
3007	2.20081
3008	2.34346
3008	0.88806
3009	2.34991
3009	0.88403
3011	2.21128
3012	0.91464
3013	2.34266
3013	0.90014
3014	2.33621
3014	0.89450
3015	2.32574
3015	0.89934
3016	2.34507
3016	0.88645
3017	2.34829
3017	0.88886
3018	2.35232
3018	0.88483
3019	2.33702
3019	0.92512
3020	2.26365
3020	1.00649
3021	2.17986
3022	0.95332
3023	2.21692
3024	2.34266
3024	0.89209
3025	2.30398
3025	0.99521
3026	2.16616
3027	1.06133
3028	2.05734
3029	1.93085
3031	1.68507
3031	1.76242
3032	1.29986
3033	1.18701
3034	1.85104
3034	1.59720
3035	1.44327
3036	2.02915
3036	1.66171
3037	1.37962
3038	0.88645
3039	2.30479
3039	1.08711
3041	2.34185
3041	0.89772
3042	2.22659
3042	1.18379
3044	2.30157
3044	0.88564
3045	2.26365
3045	1.15881
3046	1.79062
3046	1.79867
3047	1.16687
3048	0.90498
3049	2.16938
3049	1.68668
3050	1.22569
3141	0.93881
3142	2.19275
3143	2.27417
3143	0.88081
3144	2.32896
3144	1.07180
3144	1.89943
3146	0.94526
3147	2.13313
3147	0.99763
3149	2.08801
3150	1.02341
3152	2.27176
3152	0.89047
3153	2.31687
3153	1.02260
3155	2.26526
3155	0.90256
3156	2.33702
3156	0.97829
3157	2.10735
3158	1.01213
3160	2.13555
3161	1.10645
3161	1.98806
3162	1.24024
3163	1.96550
3163	1.12900
3163	1.93810
3165	0.95009
3166	1.98725
3168	1.32000
3169	0.93479
3170	2.33540
3170	0.88725
3171	2.34346
3171	0.93156
3172	2.26284
3173	2.32815
3173	0.89209
3174	2.35232
3174	0.88000
3175	2.23223
3176	0.90336
3177	2.32493
3177	0.92028
3178	2.31123
3179	2.21370
3179	1.66412
3180	1.59801
3180	1.64877
3181	1.55531
3182	2.00739
3184	2.25237
3184	0.96782
3185	2.29995
3185	0.93962
3186	2.28465
3186	0.93398
3187	2.31848
3187	0.89853
3188	2.34829
3188	0.88564
3189	2.32332
3189	0.91545
3190	2.28142
3190	1.01858
3191	2.10654
3192	1.65848
3193	1.30147
3194	2.29351
3195	2.33138
3195	1.75678
3196	1.31597
3197	1.14915
3199	1.69555
3199	1.73744
3200	0.91867
3201	2.34910
3207	2.26526
3207	1.44654
3208	1.40298
3209	0.91062
3210	2.13313
3210	1.86157
3211	1.03796
3213	1.74791
3214	2.30721
3214	0.91303
3215	2.02995
3215	1.87929
3216	0.88403
3218	1.57867
3219	2.14038
3220	0.94445
3221	1.90749
3223	1.53919
3224	1.10322
